Numero de onda	Acido Tereftalico.0.dpt
1959.32733	0.93509
1957.27352	0.93771
1955.21972	0.93911
1953.16592	0.93923
1951.11212	0.93923
1949.05832	0.93919
1947.00451	0.93949
1944.95071	0.94092
1942.89691	0.94252
1940.84311	0.94277
1938.7893	0.94229
1936.7355	0.9419
1934.6817	0.94164
1932.6279	0.94142
1930.5741	0.94135
1928.52029	0.94139
1926.46649	0.94134
1924.41269	0.94124
1922.35889	0.9411
1920.30508	0.94135
1918.25128	0.94194
1916.19748	0.94156
1914.14368	0.94063
1912.08988	0.94077
1910.03607	0.94157
1907.98227	0.94163
1905.92847	0.94097
1903.87467	0.94049
1901.82086	0.94068
1899.76706	0.94156
1897.71326	0.94261
1895.65946	0.94317
1893.60566	0.94317
1891.55185	0.94312
1889.49805	0.94293
1887.44425	0.94287
1885.39045	0.94312
1883.33664	0.94318
1881.28284	0.94311
1879.22904	0.94284
1877.17524	0.94266
1875.12143	0.94311
1873.06763	0.9439
1871.01383	0.94463
1868.96003	0.94489
1866.90623	0.94425
1864.85242	0.94319
1862.79862	0.94225
